category,title,publisher,year,type,link,authors,code,,,
Survey Papers,Machine Learning for Combinatorial Optimization: a Methodological Tour d'horizon.,EJOR,2020,journal,https://arxiv.org/abs/1811.06128,"Yoshua Bengio, Andrea Lodi, Antoine Prouvost",,,,
Survey Papers,Reinforcement Learning for Combinatorial Optimization: A Survey.,Arxiv,2020,paper,https://arxiv.org/abs/2003.03600,"Nina Mazyavkina, Sergey Sviridov, Sergei Ivanov, Evgeny Burnaev",,,,
Survey Papers,⭐Learning Graph Matching and Related Combinatorial Optimization Problems.,IJCAI,2020,paper,https://www.ijcai.org/proceedings/2020/0694.pdf,"Junchi Yan, Shuang Yang, Edwin R. Hancock",,,,
Survey Papers,Learning Combinatorial Optimization on Graphs: A Survey with Applications to Networking.,IEEE ACCESS,2020,journal,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9125934,"Natalia Vesselinova, Rebecca Steinert, Daniel F. Perez-Ramirez, Magnus Boman",,,,
Survey Papers,A Review of combinatorial optimization with graph neural networks.,BigDIA,2019,paper,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802843,"Tingfei Huang, Yang Ma, Yuzhen Zhou, Honglan Huang Huang, Dongmei Chen, Zidan Gong, Yao Liu",,,,
Survey Papers,"From Shallow to Deep Interactions Between Knowledge Representation, Reasoning and Machine Learning.",Arxiv,2020,paper,https://arxiv.org/abs/1912.06612,"Zied Bouraoui, Antoine Cornuéjols, Thierry Denœux, Sébastien Destercke, Didier Dubois, Romain Guillaume, João Marques-Silva, Jérôme Mengin, Henri Prade, Steven Schockaert, Mathieu Serrurier, Christel Vrain",,,,
Survey Papers,Machine Learning Approaches to Learning Heuristics for Combinatorial Optimization Problems.,Procedia Manufacturing,2018,journal,https://www.sciencedirect.com/science/article/pii/S2351978918311351,"Sadegh Mirshekarian, Dusan Sormaz",,,,
Survey Papers,Boosting combinatorial problem modeling with machine learning.,IJCAI,2018,paper,https://www.ijcai.org/Proceedings/2018/0772.pdf,"Michele Lombardi, Michela Milano",,,,
Survey Papers,A Survey on Reinforcement Learning for Combinatorial Optimization.,Arxiv,2020,paper,https://arxiv.org/abs/2008.12248v2,"Yunhao Yang, Andrew Whinston",,,,
Survey Papers,Model-Based Search for Combinatorial Optimization: A Critical Survey.,Annals of Operations Research,2004,journal,https://link.springer.com/article/10.1023/B:ANOR.0000039526.52305.af,"Mark Zlochin, Mauro Birattari, Nicolas Meuleau, Marco Dorigo",,,,
Survey Papers,A Survey of Reinforcement Learning and Agent-Based Approaches to Combinatorial Optimization.,Citeseer,2012,journal,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.468.5208&rep=rep1&type=pdf,Victor Miagkikh,,,,
Survey Papers,Graph Learning for Combinatorial Optimization: A Survey of State-of-the-Art.,Data Science and Engineering,2021,journal,https://link.springer.com/article/10.1007/s41019-021-00155-3,"Yue Peng, Byron Choi, Jianliang Xu",,,,
Survey Papers,Research Reviews of Combinatorial Optimization Methods Based on Deep Reinforcement Learning. (in chinese) ,自动化学报,2020,journal,http://www.aas.net.cn/article/doi/10.16383/j.aas.c200551,"Kai-Wen Li, Tao Zhang, Rui Wang, Wei-Jian Qin, Hui-Hui He, Hong Huang",,,,
Survey Papers,Combinatorial Optimization and Reasoning with Graph Neural Networks,JMLR,2023,journal,https://jmlr.org/papers/volume24/21-0449/21-0449.pdf,"Quentin Cappart, Didier Chetelat, Elias B. Khalil, Andrea Lodi, Christopher Morris, Petar Velickovic",,,,
